Human-Made Object, crm:P102_has_title, Cor de Roland
Human-Made Object, crm:P4_has_time-span, XI century
Human-Made Object, crm:P33_used_specific_technique, bas-relief
Human-Made Object, crm:P52_has_current_owner, Museo Paul-Dupuy 
Human-Made Object, crm:P55_has_current_location, Toulouse
Human-Made Object, crm:P45_consists_of, ivory
Human-Made Object, fabio:isExemplarOf, olifant
Human-Made Object, crm:P3_has_note,	A legendary horn whose owner is believed to be Orlando
Human-Made Object, crm:P2_has_type,	artefact
